11.81	-0.5	-29.7
16.42	-0.1	2.4
7.55	-0.6	17.5
-21.80	-0.4	6.1
12.59	-0.6	-5.4
-6.41	-0.1	12.5
5.36	-0.2	-6.6
4.91	1.0	8.5
10.63	0.5	-3
8.23	0.0	9.8
10.36	-0.2	-1.9
-40.46	-1.3	2.7
11.15	0.2	-27
11.73	-0.1	15.3
-1.03	-0.2	23.1
-10.35	-0.6	-8.6
2.22	-0.2	2.7
14.66	0.1	2.7
-2.86	0.0	4.8
-1.91	0.3	-0.3
5.16	0.3	2.3
3.76	0.0	5.4
3.22	-0.5	-5.9
-31.47	0.4	-6.1
10.17	0.1	-20.8
16.93	0.0	4.5
-11.95	-0.6	25
-3.45	-0.7	-4.9
-0.27	-0.1	10.8
7.49	0.1	-13
-0.58	-0.4	17.6
-9.60	-0.2	1.2
10.61	0.0	-6.8
2.19	-0.2	4.9
-1.05	-0.4	-6.2
-23.79	-1.0	-5
5.79	-0.3	-21.7
3.91	-0.4	9.5
0.45	-0.2	5.5
-14.96	-0.6	-3.2
7.29	-0.2	-0.1
7.78	0.0	-4.5
-0.28	-0.2	7.7
0.07	-0.1	-3.2
8.98	0.3	20.6
-2.55	-0.1	11.9
7.78	-0.6	-9.9
-34.46	0.3	8.3
9.53	0.0	-33.6
2.70	-0.4	3
6.47	-0.7	8.5
