11.81	-0.5	2
16.42	-0.1	1.7
7.55	-0.6	1.1
-21.80	-0.4	0
12.59	-0.6	-0.5
-6.41	-0.1	-0.3
5.36	-0.2	0.2
4.91	1.0	1
10.63	0.5	2.4
8.23	0.0	0.9
10.36	-0.2	0.4
-40.46	-1.3	0.4
11.15	0.2	1
11.73	-0.1	0.7
-1.03	-0.2	1.5
-10.35	-0.6	1.7
2.22	-0.2	0.4
14.66	0.1	0.7
-2.86	0.0	-1.5
-1.91	0.3	-0.3
5.16	0.3	0.2
3.76	0.0	0.1
3.22	-0.5	0.2
-31.47	0.4	0.1
10.17	0.1	0.7
16.93	0.0	-0.1
-11.95	-0.6	0.3
-3.45	-0.7	-0.1
-0.27	-0.1	-0.4
7.49	0.1	-0.4
-0.58	-0.4	-0.3
-9.60	-0.2	-0.5
10.61	0.0	0.1
2.19	-0.2	-0.2
-1.05	-0.4	0.2
-23.79	-1.0	0
5.79	-0.3	0.1
3.91	-0.4	0.1
0.45	-0.2	0
-14.96	-0.6	-0.3
7.29	-0.2	0.1
7.78	0.0	-0.1
-0.28	-0.2	-0.5
0.07	-0.1	-0.4
8.98	0.3	-0.1
-2.55	-0.1	0.5
7.78	-0.6	0.3
-34.46	0.3	0.5
9.53	0.0	0.3
2.70	-0.4	0.4
6.47	-0.7	2.3
