1.80	1.20	0.34	8.80	-4.90
2.88	0.91	0.73	8.10	5.97
7.09	-1.92	-0.01	9.90	23.59
-1.72	0.20	2.50	9.20	-11.42
2.54	1.52	-0.27	7.62	-6.01
1.39	-0.60	-0.58	2.38	4.14
4.31	-0.80	-2.11	-6.92	17.90
-2.44	3.20	-2.15	-24.02	-2.82
1.06	0.00	-1.56	-16.59	-10.94
1.19	-5.10	-0.69	-9.61	1.03
5.84	-0.20	-0.73	-4.12	31.15
-3.23	1.40	0.79	1.17	-21.59
0.88	3.10	0.65	4.29	0.55
1.72	1.34	0.37	8.49	-0.01
6.99	-2.23	-0.31	14.56	37.33
-5.07	1.41	2.21	20.37	-14.57
3.63	1.44	0.07	13.95	-11.13
0.91	-1.23	-0.51	8.09	2.29
5.38	0.00	-0.55	4.84	45.71
-3.32	-1.23	0.38	-5.21	-17.18
0.82	-1.40	-0.30	-9.52	-13.65
-0.09	-0.70	-0.29	-11.77	2.65
7.26	-1.39	-0.90	-11.55	33.64
