0.22	0.34	8.70	0.70
-0.42	0.73	-0.60	1.20
-0.65	-0.01	5.30	-0.10
0.16	2.50	-4.10	1.60
-0.02	-0.27	12.30	1.50
-0.65	-0.58	-5.60	1.40
-2.11	-2.11	4.60	0.20
-0.43	-2.15	-3.30	0.60
1.85	-1.56	6.60	1.20
0.24	-0.69	0.20	1.80
-0.27	-0.73	5.10	0.10
0.76	0.79	-14.30	0.20
-0.21	0.65	11.70	0.91
0.61	0.37	-2.70	1.01
-0.49	-0.31	8.00	0.00
1.20	2.21	-6.70	0.90
0.70	0.07	16.80	2.10
-1.00	-0.51	-0.80	1.50
-0.10	-0.55	5.40	-0.40
-0.20	0.38	-7.20	1.30
-0.40	-0.30	11.90	1.70
-0.30	-0.29	-5.70	1.30
-0.80	-0.90	9.60	-0.50
0.30	0.20	-5.70	0.40
0.70	0.07	12.00	0.20
-0.10	0.25	-0.30	0.40
