11.81	-0.5	0
16.42	-0.1	6.6
7.55	-0.6	5.7
-21.80	-0.4	-1.8
12.59	-0.6	4.3
-6.41	-0.1	10.3
5.36	-0.2	-0.2
4.91	1.0	-2.7
10.63	0.5	3.4
8.23	0.0	-4.5
10.36	-0.2	1.4
-40.46	-1.3	11.6
11.15	0.2	-13.3
11.73	-0.1	2.4
-1.03	-0.2	7.9
-10.35	-0.6	0.6
2.22	-0.2	0.4
14.66	0.1	6.5
-2.86	0.0	1.4
-1.91	0.3	-1.2
5.16	0.3	1.4
3.76	0.0	-2.4
3.22	-0.5	0
-31.47	0.4	10.1
10.17	0.1	-10.2
16.93	0.0	3.3
-11.95	-0.6	5.4
-3.45	-0.7	-0.1
-0.27	-0.1	5.5
7.49	0.1	2.2
-0.58	-0.4	1.9
-9.60	-0.2	-2.2
10.61	0.0	-0.3
2.19	-0.2	0
-1.05	-0.4	-1.2
-23.79	-1.0	6.5
5.79	-0.3	-10.8
3.91	-0.4	1.2
0.45	-0.2	9
-14.96	-0.6	1.2
7.29	-0.2	-1.6
7.78	0.0	5.6
-0.28	-0.2	2.6
0.07	-0.1	-3.3
8.98	0.3	1.1
-2.55	-0.1	-2.8
7.78	-0.6	-1.3
-34.46	0.3	9.1
9.53	0.0	-13.8
2.70	-0.4	1.3
6.47	-0.7	6.5
