0.00	0.00	1.10	-0.10
-1.03	9.50	2.80	0.10
-2.60	-0.90	-0.80	0.40
-2.67	-4.90	-2.20	0.30
-1.10	8.70	3.90	-0.20
-0.56	-7.70	0.00	-0.20
-1.12	4.10	-1.00	-0.10
-0.56	9.90	-0.20	0.40
-1.70	1.80	1.90	0.40
0.00	0.00	5.80	-0.20
1.73	-1.80	4.40	-0.20
2.27	-6.80	-11.49	0.20
0.00	-0.40	2.20	0.00
-1.11	15.90	3.60	-0.10
-3.37	-9.70	-2.29	0.70
-4.07	6.60	-1.29	0.50
-3.64	2.50	3.21	-0.30
-1.26	-5.40	0.80	0.00
-1.27	2.10	-1.69	0.30
-1.94	8.60	-0.10	0.20
-1.97	4.30	1.80	0.10
-0.67	-2.50	3.80	0.00
0.00	-5.90	9.92	-0.20
2.03	-0.10	-12.30	0.40
-1.99	-2.20	0.70	0.30
-3.38	14.60	5.70	0.50
-4.90	-8.30	-2.80	0.50
-5.15	2.60	-0.80	0.50
-4.65	0.10	3.20	0.00
-1.63	-1.10	1.10	-0.30
-1.65	0.10	0.10	-0.40
-2.52	5.60	-1.70	0.80
-2.59	9.70	2.60	0.60
-0.88	-4.70	4.20	0.70
0.00	-8.30	4.80	0.30
2.68	4.40	-8.80	0.70
-1.74	1.50	1.80	0.40
-3.54	0.70	3.30	0.40
-5.50	4.10	-0.60	0.40
-4.85	-9.10	-3.00	0.80
-4.08	5.20	4.50	0.20
-2.13	-2.70	0.40	0.00
-1.09	-8.80	-1.50	-0.40
-2.20	16.60	-0.20	0.30
-1.12	1.90	1.80	0.40
3.41	-13.10	2.20	0.20
4.40	-3.10	3.10	-0.10
9.47	-6.30	-6.60	0.50
4.81	2.40	-1.40	0.90
1.83	15.60	3.60	0.70
-1.80	-6.90	-1.80	0.70
-1.83	-1.80	-3.50	0.50
-0.93	6.00	2.70	0.20
0.94	-2.60	2.20	0.10
0.93	-4.40	-2.40	-0.40
0.93	15.00	0.40	0.00
1.83	1.90	0.80	0.10
2.70	-3.20	2.50	0.30
6.14	-5.40	7.40	0.00
6.61	-5.40	-12.00	0.60
2.33	3.10	1.60	0.20
-1.52	19.10	5.90	0.30
-4.62	-9.20	-3.10	0.40
-2.42	1.60	-1.80	0.30
-3.31	6.80	1.40	0.30
-1.71	-5.90	1.10	-0.20
-0.87	-1.80	-0.40	-0.40
0.88	13.10	-0.70	0.60
0.00	-1.60	0.70	0.50
1.74	-1.40	2.40	0.10
5.98	-4.20	8.70	0.40
5.65	-5.70	-12.90	1.20
2.29	3.30	0.70	0.20
-0.75	14.30	5.30	0.90
-3.76	-9.20	-1.60	0.50
-3.13	2.40	-3.80	0.60
-4.03	1.10	3.70	-0.40
-0.84	-5.80	0.60	-0.30
0.00	4.40	-0.60	0.00
0.00	11.00	-0.40	0.10
0.00	-1.90	0.30	0.70
2.54	0.20	1.20	0.70
3.31	-4.00	8.70	0.40
13.60	5.50	-10.50	0.10
1.41	-2.80	0.80	0.00
-0.69	9.30	3.10	0.20
-2.10	-2.20	-0.50	0.40
-2.86	-0.70	-3.30	-0.10
-2.94	2.60	2.90	0.00
-0.76	1.50	0.30	0.30
-0.76	-4.40	-1.50	-0.30
0.00	9.60	0.20	0.10
0.00	6.10	1.50	0.20
